剧情范围	术语类别 Category	术语 ZHCN	曾用名	术语定义 Definition	性別 Gender	图像 Image	术语来源 Source	EN	EN Comment	术语状态 Status	JA	JA Comment	术语状态 Status	ES	ES Comment	术语状态 Status	DE	DE Comment	术语状态 Status	FR	FR Comment	术语状态 Status	PTBR	PTBR Comment	术语状态 Status	RU	RU Comment	术语状态 Status	ID	ID Comment	术语状态 Status	KO	KO Comment	术语状态 Status	TH	TH Comment	术语状态 Status	ZHTW	
	Named NPC	马尔文			He			Marvin		Approved	マルヴィン		Approved	Marvin		New	Marvin		New	Marvin		New	Marvin		New	Марвин		New	Marvin		New	마빈		Approved	มาร์วิน		New	馬爾文	
	Named NPC	菲比			She			Phoebe		Approved	フィービー		Approved	Phoebe		New	Phoebe		New	Phœbe		New	Phoebe		New	Фиби		New	Phoebe		New	피비		Approved	ฟีบี		New	菲比	
	Named NPC	路易斯			He	 		Luis	英文常用名	Approved	ルイス		Approved	Luis		New	Luis		New	Louis		New	Luis		New	Луис		New	Luis		New	루이스		Approved	ลูอิส		New	路易斯	
	Named NPC	莱克			She				出处是？																													萊克	
	Named NPC	麦瑞			He				出处是？																													麥瑞	
b	Named NPC	可丽希亚		王国公主⏎Princess of the Kingdom⏎· 年龄：13⏎    · 外貌特征：⏎白皙可爱，衣着奢华，头顶的两个大包彰显着她独特的审美趣味。⏎⏎    · 性格特征：⏎刁蛮淘气，十分任性，「公主陛下」的超然身份让她喜欢捉弄别的同学；⏎而实际上，在看似小霸王的行为背后，是可丽对无聊的「王储生涯」的叛逆与反抗。⏎她讨厌宫廷戒律和古板的束缚，渴望在自由中释放天性，像其他孩子一样拥有放飞的童年；⏎但只有她最好的朋友菲尔特知道——外表强势的小公主，偶尔也会有因为寂寞哭鼻子的时候。⏎⏎    · 重要过往：⏎哥哥「韦恩」在册封大典上出糗后，让可丽成为预备接班人的流言就在王宫四起；⏎皇家留置地是可丽希亚10岁生日时，圣安德鲁国王送给她的生日礼物。⏎Age: 13⏎    Appearance:⏎Fair-skinned and cute, with a luxurious sense of style. The two large buns reflect her unique fashion taste.⏎⏎    Personality:⏎Spoiled, mischievous, and willful. Her status as a Princess makes her enjoy teasing other students.⏎But beneath that little bully act lies a quiet rebellion against the dull life of a royal heir.⏎She hates palace rules and stiff traditions. She longs for freedom, to let loose, and to have a childhood like any other kid.⏎Only her best friend Furtis knows the truth—this tough little princess sometimes cries when she feels lonely.⏎⏎    Key Moments:⏎After her brother Wayne embarrassed himself at his coronation, rumors started swirling around the palace that Clarissa might be next in line.⏎The royal estate was a birthday gift from King Aindreas when she turned 10.	She	 		Clarissa	小名为Clara	Approved	クラリッサ		Approved	Clarissa		New	Clarissa		New	Clarisse		New	Clarissa		New	Кларисса		New	Clarissa		New	클라리사		Approved	คลาริสซา		New	可麗希亞	
	Named NPC	菲尔特		助教⏎Teaching Assistant	He	 		Furtis		Approved	ファルティス		Approved	Furtis		New	Furtis		New	Curtis		New	Furtis		New	Фертис		New	Furtis		New	퍼티스		Approved	เฟอร์ทิส		New	菲爾特	
	Named NPC	白树			She			The Radiant Tree		Approved	白樹		Approved	El Árbol Radiante		New	Strahlender Baum		New	L'arbre rayonnant		New	A Árvore Radiante		New	Лучезарное дерево		New	Flora Kirana		New	흰나무		Approved	ต้นไม้เรืองแสง		New	白樹	
	Named NPC	佩西			She			Penny		Approved	ペニー		Approved	Penny		New	Penny		New	Penny		New	Penny		New	Пенни		New	Penny		New	페니		Approved	เพนนี		New	佩西	
	Named NPC	恩佐			He	 		Enzir		Approved	エンザー		Approved	Enzir		New	Enzir		New	Enzir		New	Enzir		New	Энзир		New	Enzir		New	엔지르		Approved	เอนเซียร์		New	恩佐	
	Named NPC	易西		· 年龄：17⏎    · 外貌特征：⏎野外研究人员的装束和打扮，有着热衷于户外活动留下的小麦色肌肤。⏎⏎    · 性格特征：⏎飒爽干练，性格独立，有着科研人员特有严谨气质与轻微的自负；⏎曾在校园中遭受过霸凌，所以选择了可以和他人保持距离的精灵研究工作；⏎内里其实是个热情直率的人，很想帮助别人，但由于疏于与人交流的缘故，容易因为率直得罪别人。⏎⏎    · 重要过往：⏎师从罗兰。比起其他同龄的孩子，易西似乎很容易获得草系精灵的青睐；⏎因为古怪风卷的出现，被罗兰派来协助路易斯老师进行调查工作。⏎Age: 17⏎    Appearance:⏎Dressed like a field researcher, with sun‑kissed skin from spending so much time outdoors.⏎⏎    Personality:⏎Sharp, efficient, and fiercely independent. She's got the serious, detail‑driven mindset of a researcher and maybe a bit of an ego.⏎She was bullied at school, so she threw herself into Jini research—a way to keep some distance from people.⏎But underneath that cool exterior, she's actually warm and straightforward. She genuinely wants to help people—but she's out of practice when it comes to dealing with others, so her bluntness often rubs them the wrong way.⏎⏎    Key Moments:⏎A student of Roland. Compared to other kids her age, Yessi has always had a way with Flora-class Jinies.⏎When those strange vortexes started appearing, Roland sent her to assist Professor Luis with the investigation.	She	 		Yessi	研发指定术语	Approved	イェッシー		Approved	Yessi		New	Yessi		New	Jessie		New	Yessi		New	Йесси		New	Yessi		New	예시	发音听起来有点怪。不适合为人名。建议改为이스之类的	Denied	เยสซี		New	易西	
	Named NPC	伊里斯			He			Irys	初始术语：Ires⏎建议：Irys⏎用拼法把它改的稍微阳刚一点	Approved	イリス		Approved	Irys		New	Irys		New	Iris		New	Irys		New	Ирис		New	Irys		New	아이리스		Approved	ไอริส		New	伊里斯	
	Named NPC	汉普顿			He			Hampton		Approved	ハンプトン		Approved	Hampton		New	Hampton		New	Hampton		New	Hampton		New	Хэмптон		New	Hampton		New	햄프턴		Approved	แฮมป์ตัน		New	漢普頓	
	Named NPC	库伦			He			Kullen		Approved	クレン		Approved	Kullen		New	Kullen		New	Kullen		New	Kullen		New	Каллен		New	Kullen		New	컬렌		Approved	คัลเลน		New	庫倫	
	Named NPC	库伦大人		就是库伦⏎It's Kullen.	He			Lord Kullen		Approved				Señor Kullen		New	Lord Kullen		New	Seigneur Kullen		New	Lorde Kullen		New	Лорд Каллен		New	Lord Kullen		New	컬렌 경		Approved	ลอร์ดคัลเลน		New	庫倫大人	
