势力名称	势力基础设定	角色名	子阵营	对应身份	IP定位	出场节点	角色样貌	角色基础设定	特殊的元素	「一句话」标签	EN														
魔法学院⏎Magic Academy 	魔法师学校，霍格沃兹感⏎⏎  大陆上最古老的势力之一，在屡次的灾难之中幸存并越发壮大。  ⏎    最初的魔法学院，由幽系部族演变而来（一个成员天生就是魔法师的部族），如今，它成为了严谨传授精灵魔法有关知识的教育机构。⏎    比起关在学校里闭门造车，魔法学院更主张让学生们深入自然，去更广袤的世界里感受精灵魔法的奥秘。⏎    并非所有的魔法师都需要进入魔法学院接受教育，但从学院毕业的孩子里，几乎没有平庸之辈。⏎⏎    此外，魔法学院立足于探索精灵魔法的真谛，以维持洛克与精灵世界的「平衡」为己任，因此与双方阵营交好，更得到了数位强大精灵王的认同。⏎    而作为最具历史的势力，魔法学院同时充满了许多不为人知秘密：比如除了学院在职/在读师生外，无人知道学院真正的所在地，以及前往那里的方法。	主角（男）⏎Player (Male)	怪谈社⏎Adventurer Club	低年级学生⏎First-year/Freshmen	空白人主角⏎Main Character	始终⏎Entire Storyline⏎(Start to Finish)	 	· 性别：男⏎Gender: Male⏎· 年龄：13-14⏎Age: 13-14⏎· 外貌特征：⏎                   可爱呆萌，亲和度高，在钝钝的外表下，透出一丝坚毅勇敢的气质。初始服装的感受是非常爱户外冒险。⏎Appearance:⏎Adorably cute and highly approachable, with a hint of grit and bravery beneath a goofy exterior. His initial outfit gives off the strong impression of someone who loves outdoor adventures⏎· 性格特征：⏎                    虽然平时呆呆的，棱角不强烈，会犯点小迷糊，看起来很好欺负，但在关键时刻便会爆发热血和勇气的一面。⏎                    拥有着「坚毅」的特性，善恶观分明，大义凛然，有自己的原则和坚持。⏎Personality:⏎Though usually dorky and soft-edged, he is prone to little bouts of clumsiness, making him come off as an easy target. However, he explodes with passion and courage when it matters the most. Possessing the fortitude trait; he has a razor-sharp sense of right and wrong, is morally upright, principled, and unshakeable in his convictions⏎· 重要过往：⏎                    B1区域会加入现任学生团体「怪谈社」。⏎Backstory: Joins the Adventurer Club (a student org) in the B1 Main Storyline 																	
		主角（女）⏎Player (Female)	怪谈社⏎Adventurer Club	低年级学生⏎First-year/Freshmen	空白人主角⏎Main Character	始终⏎Entire Storyline⏎(Start to Finish)	 	· 性别：女⏎Gender:  Female⏎· 年龄：13-14⏎Age: 13-14⏎· 外貌特征：⏎                    温顺柔和，亲和度高，在听话懂事的外表下，透露出一丝狡黠的气质。初始服装的感受是比较爱户外冒险。⏎Appearance:⏎Gentle and mild-mannered with high approachability; beneath her obedient and sensible exterior, there lies a hint of craftiness. Her initial outfit suggests a strong passion for outdoor adventures⏎· 性格特征：⏎                    在看起来乖巧的外表下，是一颗按捺不住的爱冒险的古灵精怪的心。⏎                    会偶尔展露出狡黠调皮的「萌」感，非常聪慧，脑子转得很快，遇事冷静。⏎Personality:⏎Beneath her well-behaved exterior lies a restless, adventurous heart full of whimsical energy. She also occasionally reveals a mischievous yet innocent charm. She is incredibly bright, quick-witted, and remains calm under pressure⏎· 重要过往：⏎                    B1区域会加入现任学生团体「怪谈社」。⏎Backstory: Joins the Adventurer Club (a student org) in the B1 Main Storyline 																	
		恩佐⏎Enzir	怪谈社⏎Adventurer Club	高年级学生（研究生）⏎Fourth-year/Senior (Researcher)		A1-B1主线⏎A1-B1 Main Storyline	 	· 性别：男⏎Gender: Male⏎· 年龄：18⏎Age: 18⏎· 外貌特征：⏎                    帅气高贵，身姿挺拔，一席红袍将他与普通学生区分开来；⏎                    脸上常挂着微笑，但却有一种天生的上位者气质，令人不易接近。⏎Appearance:⏎Handsome and noble with a tall, upright stature, his crimson robes immediately set him apart from other students. Though a smile often graces his face, he possesses a natural air of authority that makes him feel aloof and unapproachable.⏎· 性格特征：⏎                    偏执且疏离，平日里有些慵懒，对于俗世和普通人有一种虚假的「温柔」，本质上毫不在意。⏎                    喜欢独来独往，对在意之事会有强烈的目标感；而出于雪莉的原因，恩佐似乎对超常的力量颇感兴趣。⏎Personality:⏎Obsessive and detached, he often carries an air of mystery. He maintains a facade of gentleness toward the mundane world and ordinary people, though, in reality, he couldn't care less. A lone wolf by nature, he possesses a fierce sense of purpose regarding things he truly cares about; meanwhile, because of Sally, Enzo seems to have developed a profound interest in supernatural powers.⏎· 重要过往：⏎                    师从格里芬，天赋惊人，17岁便以在校生的身份，取得了「大魔法师」的称号。⏎                    现任学生团体「怪谈社」的会长，亦是数年前令该协会成员覆没的灾难中唯一的幸存者。⏎                    私下在研究（禁忌的）黑魔法，据说，他还有一只无人知其来历的精灵王宠物（小光）⏎Backstory: A disciple of Griffin with breathtaking natural talent, he earned the title of Archmage at just 17 years old while still a student. He currently serves as the President of the Adventurer Club, and is the sole survivor of the catastrophe that wiped out the club's entire membership years ago. In secret, he dabbles in forbidden Dark Magic; rumor has it he also possesses a Jini Sovereign of unknown origin named Lurix.	· 大魔法师身份的体现⏎· 雪莉老师唯一的遗物——权杖⏎· 代表精灵——「叮叮恶魔」	只有经历过绝望，才会明白现行魔法的孱弱，一定…还有着更为强大的力量……	Mysterious, Cunning, Edgey, Stubborn, Resolute, Caring.⏎⏎When introduced, Enzir seems like a normal and talented mage, truly dedicated to helping his fellow students and advancing in his field. He is also heavily trusted by the academy, and his confidence in his abilities can be clearly seen from his speech. But as the story progresses, he grows mysterious; there is a sense he is always hiding something. Furthermore, he begins to shatter the image you first perceive of him. He, without hesitation, breaks rules, gets the player and those around him into dangerous situations nobody else would, easily comes up with ideas to fool the enemy or those standing in his way, and seems to be obsessed with gaining power, even if it is taboo. He seems to have a clear goal in mind and will let nothing stop him from achieving it, though he does care for the player and his goal is tied to helping his teacher, Shirley.														
		路易斯⏎Luis	无⏎None	课程导师⏎Course Professor 		A1-B1主线⏎A1-B1 Main Storyline	 	· 性别：男⏎Gender: Male⏎· 年龄：27⏎Age: 27⏎· 外貌特征：⏎                    衣着考究，举止优雅，秀气的面庞常常让人将他错认成女孩子。⏎Appearance:⏎Dressed in refined, impeccable attire and possessing elegant manners, his delicate features often lead people to mistake him for a girl⏎· 性格特征：⏎                    温文儒雅，善解人心，有着大多数男性老师不具备的细腻与温柔；⏎                    做事踏实负责，对孩子们的学习、生活有着事无巨细的关怀，有时候会被嫌啰嗦。⏎Personality:⏎Gentle and refined, he is highly perceptive of others' feelings, possessing a level of sensitivity and tenderness rarely seen in male teachers. He is grounded and responsible, showing meticulous care for every detail of the children's studies and daily lives, to the point where he is sometimes teased for being a bit of a nag⏎· 重要过往：⏎                    学生时代就是典型的优等生，认为学习能获得宁静，于是留校继续从事与学习相关的工作。⏎                    不认为提升强度是必修课，认知精灵的「趣味与独特性」，才是路易斯推行的学习主张。⏎Backstory: A cliché top-of-his class type since his younger, he believes that true inner peace is found through learning; this led him to remain at the academy to pursue a career in education. He doesn't believe that intense study and practice is a requirement for growth; instead, Luis advocates for a philosophy centered on recognizing the fun and uniqueness of each Jini.	· 讲究优雅的审美趣味⏎· 因为性格好，收获了许多粉丝（男女老少都有）⏎· 代表精灵——「雪影娃娃」	希望每个孩子都能开开心心、茁壮成长，对了，还要记住时刻保持优雅~	Kind, Conformist, Reliable, Dedicated⏎⏎Professor Luis is one of the player's main mentors. He is introduced as one of the Magic Academy’s most important personnel, someone the academy can rely on in any situation. He abides by the rules of the academy resolutely and would never entertain the thought of going rogue. He cares deeply about the player but also knows that he is special and does give the player some leeway.														
		易西⏎Yessi	草系研究院⏎Flora-Class Research Institute 	高年级学生（研究生）⏎Fourth-year/Senior (Researcher)		A1-主线⏎（间章，尾声）A1 Main Storyline (Interlude, Epilogue)	 	· 性别：女⏎Gender: Female⏎· 年龄：17⏎Age: 17⏎· 外貌特征：⏎                    野外研究人员的装束和打扮，有着热衷于户外活动留下的小麦色肌肤。⏎Appearance:⏎Dressed in the practical gear of a field researcher, she possess a sun-kissed, wheat-colored complexion, a mark of her passion for the great outdoors.⏎· 性格特征：⏎                    飒爽干练，性格独立，有着科研人员特有严谨气质与轻微的自负；⏎                    曾在校园中遭受过霸凌，所以选择了可以和他人保持距离的精灵研究工作；⏎                    内里其实是个热情直率的人，很想帮助别人，但由于疏于与人交流的缘故，容易因为率直得罪别人。⏎Personality:⏎Sharp and capable with an independent streak, she possesses the rigorous precision typical of a researcher, along with a touch of professional conceit. Having been bullied during her school days, she chose a career in Jini research specifically to maintain a comfortable distance from others. In reality, she is a warm and straightforward person who genuinely wants to help, though her lack of social skills often causes her bluntness to be mistaken for rudeness⏎· 重要过往：⏎                    师从罗兰。比起其他同龄的孩子，易西似乎很容易获得草系精灵的青睐；⏎                    因为古怪风卷的出现，被罗兰派来协助路易斯老师进行调查工作。⏎Backstory: A disciple of Roland. Compared to other children her age, Yessi seems to have a natural gift for winning the favor of Flora-class Jinies. Due to the emergence of the windstorm, she was dispatched by Roland to assist Professor Luis with the ongoing investigation	⏎· 户外探险家的衣着风格⏎· 随身携带着大量的调查报告⏎· 代表精灵——「奇丽草」	下次再这么冒失地陷入危险，本学姐可未必会救你哦……	Knowledgeable, Academic, Nice⏎⏎One of the more straightforward characters. She's likeable, kind, and focuses on teaching the students, helping the player learn about the world, and is a mainstay at the Magic Academy.														
		可丽希亚⏎Clarissa	皇室贵族⏎Royalty (Daughter of King Aindreas)	低年级学生⏎First-year/Freshmen		A1-主线⏎晋升任务⏎A2-主线⏎A1 Main Storyline⏎Advancement Exam⏎A2 Main Storyline	 	· 性别：女⏎Gender: Female⏎· 年龄：13⏎Age: 13⏎· 外貌特征：⏎                    白皙可爱，衣着奢华，头顶的两个大包彰显着她独特的审美趣味。⏎Appearance:⏎Fair-skinned and adorable, she is dressed in luxurious, high-end attire; the two large buns atop her head showcase her unique and quirky sense of style⏎· 性格特征：⏎                    刁蛮淘气，十分任性，「公主陛下」的超然身份让她喜欢捉弄别的同学；⏎                    而实际上，在看似小霸王的行为背后，是可丽对无聊的「王储生涯」的叛逆与反抗。⏎                    她讨厌宫廷戒律和古板的束缚，渴望在自由中释放天性，像其他孩子一样拥有放飞的童年；⏎                    但只有她最好的朋友菲尔特知道——外表强势的小公主，偶尔也会有因为寂寞哭鼻子的时候。⏎Personality:⏎Brash, mischievous, and incredibly headstrong, her elevated status as a princess, allows her to get away with playing pranks on her classmates. In reality, behind her little tyrant behavior lies a rebellion against the suffocating boredom of her life as an heir. She loathes courtly etiquette and rigid constraints, longing to release her true nature in freedom and have a carefree childhood like any other kid. But only her best friend, Furtis, knows that beneath her forceful exterior, this little princess occasionally cries from loneliness.⏎· 重要过往：⏎                    哥哥「韦恩」在册封大典上出糗后，让可丽成为预备接班人的流言就在王宫四起；⏎                    皇家留置地是可丽希亚10岁生日时，圣安德鲁国王送给她的生日礼物。⏎Backstory: After her older brother, Wayne, made a fool of himself during a royal ceremony, rumors began flying through the palace that Clarissa would become the next in line to the throne. The Royal Enclave is a gift given to her by King Aindreas on her tenth birthday	· 胸前的祖母绿宝石是先祖「亚瑟」留下的宝物⏎· 对品味时尚有着自己的独特见解，和皮卡很有共同话题⏎· 代表精灵——「呆小路」、「火花」	本公主的话举足轻重，禁止顶嘴！	Simplistic, Honorable, Battle-hungry, Royal Condescension⏎⏎Quite an easy to read character. She sees the world through Jini Duels and respects those who are strong and always willing to battle. Though, her royal upbringing means she talks down to almost everyone around her, she does so without malice and, at times, it gives her an endearing quality.														
		菲尔特⏎Furtis	无⏎None	低年级学生⏎First-year/Freshmen		A1-主线⏎A2-主线⏎A1 Main Storyline⏎A2 Main Storyline 	 	· 性别：男⏎Gender: Male⏎· 年龄：13⏎Age:  13⏎· 外貌特征：⏎                    可爱，包里装着许多烹饪用具和食材；⏎Appearance:⏎Adorable, with a bag packed full of cooking utensils and fresh ingredients⏎· 性格特征：⏎                    胆小，但愿意为朋友挺身而出；⏎                    父亲是在水系地区人鱼湾闻名的饭店老板，因进宫为圣安德鲁陛下做饭，而带上了菲尔特。⏎                    初到王国城堡的菲尔特，遭到了许多贵族小孩的欺负，只有一个粉头发的小女孩霸气地保护了她；⏎                    后来，菲尔特和这个女孩成为了朋友，方才知晓她的真实身份——王国的公主，可丽希亚。⏎Personality:⏎Timid by nature, yet always willing to stand up for his friends. His father is a renowned chef from the aquatic region of Mermaid Bay, who brought Furtis along when he was summoned to the palace to cook for King Aindreas. Upon his arrival at the Citadel, Furtis was bullied by many noble children, only to be shielded by the bold protection of a little girl with pink hair. It was only after they became friends that Furtis discovered her true identity—Clarissa, the Princess of the Kingdom⏎· 重要过往：⏎	· 额头的护目镜，是爸爸曾经送他的生日礼物，对他很重要⏎· 代表精灵——「水蓝蓝」		Meek yet aggressive if need be, Humorous.⏎⏎As Krithya's companion, Furtis's main job is trying to rein her in, but since Krithya is quite troublesome, he ends up doing damage control. He is a bit comical and is mostly friendly, but you do get a sense that he feels bad for the people who end up facing Krithya in his dialogue.⏎														
		格里芬⏎Griffin	无⏎None	校长⏎Magic Academy Principal		B1-主线⏎B1 Main Storyline 	 	· 性别：男⏎Gender: Male⏎· 年龄：未知（本人已经忘记了，大约在150岁左右）⏎Age: Unknown (Griffin himself has forgotten,  approximately 150 years old)⏎· 外貌特征：⏎                    身材高大，耄耋老者，衣着朴素大气，有着历经世事之后的从容与淡定。⏎Appearance:⏎A tall, respected elder who's well into old age; he dresses in simple yet dignified attire, possessing a sense of composure and calm that comes from a lifetime of experience.⏎· 性格特征：⏎                    乐观豁达，睿智洞察，不拘形式，充满正义，是个爱开玩笑的慈祥老爷爷；⏎                    虽然老到快要记不得岁数的年纪，依旧不改年少时的顽皮，喜欢琢磨有趣的「小」玩意儿。⏎                    源于强大的实力，总是一副恃无恐的淡然，无论面对何种危险，总能保持绝对的冷静；⏎                    表面上嘻嘻笑笑、不太正经，但据说真正认真起来（对敌）的样子，其实是十分惊人的。⏎Personality:⏎Optimistic, broad-minded, and possessing a keen insight, he is a jovial, justice-driven grandfather figure who cares little for formality. Though he is so old he has nearly lost count of his age, he retains the playfulness of his youth, always tinkering with gadgets and odd trinkets. Backed by immense power, he carries an air of fearless composure, remaining absolutely unshakable in the face of any danger. While he may seem like a grinning, easygoing old man on the surface, word has it that his truly serious side that he only reveals in battle is nothing short of terrifying⏎· 重要过往：⏎                    被誉为200年间最强大的魔法师，在80年前担任了魔法学院院长一职；⏎                    「咕噜球」的发明者，学术、爱好广泛，就连炼金术也颇为高深。⏎Backstory: Hailed as the most powerful mage in two hundred years, he assumed the position of Headmaster of the Magic Academy eighty years ago. As the inventor of the Buddy Pod, his academic pursuits and hobbies are vast, extending even to the profound depths of alchemy	· 大魔法师尊崇身份的体现⏎· 代表精灵——「火羽」	吼吼！老夫看你骨骼清奇，想必是块做魔法师的好材料~	⏎⏎Wise, Wise-cracking, Forward-looking, Aura of overwhelming strength, exudes happiness.⏎⏎Spending over a century as one of the strongest Jini mages has given him a confidence like no other, meaning he can do as he pleases at most times. Lucky for the player and those in the Magic Academy, that mostly means he spends his days as an eccentric elder, who loves jokes, bringing happiness to everyone, and tinkering with new ideas. He's never dismissive and looks at things with an open mind, but do not test him. He is not the Headmaster for nothing.⏎														
		迪兰⏎Dillan	元老院⏎High Council	首席考官⏎Head Examiner		B1-主线⏎B1 Main Storyline 	 	· 性别：男⏎Gender: Male⏎· 年龄：107⏎Age: 107⏎· 外貌特征：⏎                    身材矮胖，但行动迅捷，星空纹路的法袍似乎隐藏着与幻系精灵有关的秘密。⏎Appearance:⏎While being tiny and plump, yet remarkably swift in motion, his star-patterned robes seem to harbor secrets linked to Stellar-class Jini.⏎· 性格特征：⏎                    严肃认真，一丝不苟，是个不苟言笑的倔强老头，喜欢强调校园的纪律性。⏎                    身为学院的元老级人物，是陪伴在格里芬院长身边最久的老师。⏎                    对于格里芬的任性总是无可奈何，于是只能自己承担起了治理学院秩序的重任。⏎                    其实迪兰并非看上去这么古板，在无需执教的时候，他偶尔也会因为品鉴可瓦斯而酩酊大醉。⏎Personality:⏎Strict, serious, and meticulous, he is a stubborn old man of few words who constantly emphasizes discipline. As a founding member of the academy, he is the teacher who has stood by Headmaster Griffin’s side the longest. Often left helpless by Griffin’s impulsive whims, he has taken it upon himself to bear the heavy burden of maintaining order within the school. In truth, Dillan is not as rigid as he appears; during his time off, he has been known to get roaring drunk after indulging in a fine Rocowass tasting⏎· 重要过往：⏎                    为了吸纳王国境内的强力魔法师，迪兰设立了用于挑选「大魔法师」的竞赛。——「先驱魔法师竞赛」⏎Backstory: In order to recruit the most powerful mages within the kingdom, Dillan established a competition to select the next Archmages—the Pioneer Mage Trials	· 代表精灵——暂无	肃静肃静！再有调皮捣蛋的小家伙，挑战神殿就此关闭！	Stern, and meticulous, a man of few words.⏎Tone-wise, he is the complete opposite of Griffin. No jokes, no jovial and light hearted tone. Speaks like a stern principal, very sharp and straight to the point. Very few ellipses and exclamation marks.⏎Though, when drunk, he does loosen up. He speaks more like a fun uncle when inebriated, but he doesn't blabber.														
		沃尔克⏎Walker	无⏎None	课程导师⏎Course Professor 		A2-主线⏎（实习线）⏎A2 Main Storyline ⏎(Internship Arc)	 	· 性别：男⏎Gender: Male⏎· 年龄：34⏎Age:  34⏎· 外貌特征：⏎                   挺括风衣，粗硬胡茬，历经风霜的防风镜之后，是让人看不清真实想法的冷峻眼神。⏎Appearance:⏎Clad in a sharp, structured trench coat with a layer of coarse stubble, he wears weathered goggles that mask a pair of cold, grim eyes, making it impossible to discern his true thoughts⏎· 性格特征：⏎                   沉默寡言，心性稳重，作风硬派，喜欢在野外溜达，没人知道他到底在干啥；⏎                   不同于囿于象牙塔内的其他老师，社会经验丰富的沃尔克，更推崇学生们外出历险，做实战派。⏎                   看似对学生有着不近人情的苛刻标准，暗中却会默默保护孩子们的安全。（被发现了会假装路过）⏎Personality:⏎Reserved, steady, and hard-boiled in his ways, he enjoys wandering the wilderness, though no one knows exactly what he is up to. Unlike other teachers confined to their ivory towers, the street-smart Walker encourages students to go out on adventures and have practical experience. Though he seems to hold his students to inhumanly harsh standards, he secretly watches over them to ensure their safety, and, if caught, he simply pretends he was just passing by⏎· 重要过往：⏎                   曾经就职于「福尔摩卡侦探社」，因此具备着运用精灵魔法解决案件的特殊能力。⏎Backstory: Formerly employed by the Formoka Detective Agency, he possesses the specialized ability to utilize Jini Magic to solve criminal cases.	· 上班族的打扮，风尘仆仆，并不优雅⏎· 过往侦探生活的代表物（烟斗？）⏎· 代表精灵——酷拉	学院只是成长的温室，外面的世界可绝不会像这般安全	An avid outdoors-man with a hardboiled grit.⏎He doesn't explain what he does outdoors so he does come off a bit mysterious. He has a rock-solid temperament, so he is not quick to anger, sadness, or most emotions.⏎Should have the tone of a seasoned, experienced, and mature middle-aged man. He is not exactly stiff; he cares deeply for his students so, in certain moments, a light hearted joke is acceptable. He is calm so not too many exclamation marks.														
